order_id,order_date,product_name,category,quantity,price,discount_pct,revenue,region,channel,status
1001,2024-11-23,Headphones,Electronics,2,3500,0,7000.0,Saint Petersburg,Organic Search,Cancelled
1002,2024-02-14,Water Bottle,Sports,1,890,0,890.0,Saint Petersburg,Direct,Cancelled
1003,2024-01-14,Dumbbells,Sports,2,3200,10,5760.0,Yekaterinburg,Paid Ads,Returned
1004,2024-10-28,Desk Lamp,Home & Garden,3,1800,0,5400.0,Yekaterinburg,Social Media,Delivered
1005,2024-03-20,Jacket,Clothing,1,8500,0,8500.0,Novosibirsk,Social Media,Cancelled
1006,2024-05-15,Smart Watch,Electronics,2,9500,20,15200.0,Yekaterinburg,Organic Search,Cancelled
1007,2024-05-30,Jump Rope,Sports,2,550,10,990.0,Moscow,Paid Ads,Delivered
1008,2024-02-10,T-Shirt,Clothing,1,1200,5,1140.0,Samara,Social Media,Delivered
1009,2024-07-08,Rug,Home & Garden,2,5500,10,9900.0,Nizhny Novgorod,Organic Search,Cancelled
1010,2024-11-21,Hoodie,Clothing,2,2900,0,5800.0,Yekaterinburg,Social Media,Cancelled
1011,2024-04-22,Desk Lamp,Home & Garden,1,1800,0,1800.0,Novosibirsk,Email,Delivered
1012,2024-02-03,Hoodie,Clothing,4,2900,0,11600.0,Nizhny Novgorod,Email,Returned
1013,2024-11-25,Shampoo,Beauty,1,650,0,650.0,Kazan,Direct,Delivered
1014,2024-10-26,Serum,Beauty,1,2200,0,2200.0,Saint Petersburg,Direct,Returned
1015,2024-02-16,Headphones,Electronics,1,3500,0,3500.0,Nizhny Novgorod,Email,Cancelled
1016,2024-02-02,Hair Mask,Beauty,2,980,5,1862.0,Novosibirsk,Direct,Delivered
1017,2024-12-14,Bluetooth Speaker,Electronics,3,4200,10,11340.0,Novosibirsk,Organic Search,Delivered
1018,2024-08-10,Sneakers,Clothing,1,6200,10,5580.0,Nizhny Novgorod,Social Media,Cancelled
1019,2024-04-01,Yoga Mat,Sports,4,2100,0,8400.0,Nizhny Novgorod,Direct,Cancelled
1020,2024-04-11,Jacket,Clothing,3,8500,5,24225.0,Samara,Direct,Delivered
1021,2024-11-02,Thermos,Home & Garden,1,1400,20,1120.0,Samara,Social Media,Delivered
1022,2024-01-30,Hoodie,Clothing,4,2900,0,11600.0,Yekaterinburg,Organic Search,Cancelled
1023,2024-03-05,Sneakers,Clothing,4,6200,0,24800.0,Kazan,Direct,Returned
1024,2024-04-18,Dumbbells,Sports,2,3200,0,6400.0,Nizhny Novgorod,Social Media,Returned
1025,2024-09-21,Face Cream,Beauty,1,1600,0,1600.0,Moscow,Direct,Cancelled
1026,2024-04-27,Dumbbells,Sports,1,3200,10,2880.0,Moscow,Paid Ads,Delivered
1027,2024-01-17,Desk Lamp,Home & Garden,2,1800,0,3600.0,Yekaterinburg,Paid Ads,Cancelled
1028,2024-03-08,Backpack,Sports,1,4100,10,3690.0,Samara,Email,Delivered
1029,2024-02-18,Smart Watch,Electronics,1,9500,5,9025.0,Samara,Organic Search,Delivered
1030,2024-02-01,Perfume,Beauty,3,4800,0,14400.0,Saint Petersburg,Paid Ads,Cancelled
1031,2024-08-17,Sneakers,Clothing,1,6200,5,5890.0,Samara,Organic Search,Returned
1032,2024-10-08,Headphones,Electronics,2,3500,5,6650.0,Moscow,Organic Search,Delivered
1033,2024-03-26,Hair Mask,Beauty,1,980,15,833.0,Moscow,Paid Ads,Returned
1034,2024-01-02,Perfume,Beauty,4,4800,10,17280.0,Novosibirsk,Email,Cancelled
1035,2024-12-04,Shampoo,Beauty,1,650,0,650.0,Moscow,Direct,Cancelled
1036,2024-02-01,Desk Lamp,Home & Garden,1,1800,5,1710.0,Samara,Direct,Delivered
