day,source,msg_id
2025-09-18 00:00:00+00:00,mailbox,264
2025-09-19 00:00:00+00:00,mailbox,263
2025-09-19 00:00:00+00:00,mailbox,262
2025-09-21 00:00:00+00:00,mailbox,261
2025-09-22 00:00:00+00:00,mailbox,260
2025-09-23 00:00:00+00:00,mailbox,259
2025-09-23 00:00:00+00:00,mailbox,258
2025-09-24 00:00:00+00:00,mailbox,257
2025-09-27 00:00:00+00:00,mailbox,256
2025-09-29 00:00:00+00:00,mailbox,255
2025-09-30 00:00:00+00:00,mailbox,254
2025-10-01 00:00:00+00:00,mailbox,253
2025-10-02 00:00:00+00:00,mailbox,252
2025-10-02 00:00:00+00:00,mailbox,251
2025-10-06 00:00:00+00:00,mailbox,249
2025-10-06 00:00:00+00:00,mailbox,248
2025-10-08 00:00:00+00:00,mailbox,247
2025-10-08 00:00:00+00:00,events,166
2025-10-11 00:00:00+00:00,mailbox,244
2025-10-13 00:00:00+00:00,mailbox,243
2025-10-15 00:00:00+00:00,mailbox,242
2025-10-15 00:00:00+00:00,mailbox,241
2025-10-17 00:00:00+00:00,intensives,18
2025-10-17 00:00:00+00:00,mailbox,239
2025-10-17 00:00:00+00:00,events,191
2025-10-17 00:00:00+00:00,intensives,20
2025-10-18 00:00:00+00:00,mailbox,238
2025-10-18 00:00:00+00:00,intensives,22
2025-10-20 00:00:00+00:00,mailbox,237
2025-10-20 00:00:00+00:00,events,196
2025-10-21 00:00:00+00:00,mailbox,236
2025-10-21 00:00:00+00:00,events,198
2025-10-22 00:00:00+00:00,mailbox,235
2025-10-22 00:00:00+00:00,events,202
2025-10-22 00:00:00+00:00,intensives,44
2025-10-22 00:00:00+00:00,intensives,47
2025-10-24 00:00:00+00:00,intensives,49
2025-10-24 00:00:00+00:00,mailbox,233
2025-10-24 00:00:00+00:00,intensives,51
2025-10-27 00:00:00+00:00,mailbox,232
2025-10-27 00:00:00+00:00,intensives,52
2025-10-28 00:00:00+00:00,mailbox,231
2025-10-28 00:00:00+00:00,events,226
2025-10-29 00:00:00+00:00,intensives,56
2025-10-29 00:00:00+00:00,intensives,59
2025-10-30 00:00:00+00:00,intensives,66
2025-10-31 00:00:00+00:00,mailbox,229
2025-10-31 00:00:00+00:00,intensives,68
2025-10-31 00:00:00+00:00,intensives,72
2025-11-01 00:00:00+00:00,mailbox,228
2025-11-01 00:00:00+00:00,intensives,74
2025-11-02 00:00:00+00:00,mailbox,227
2025-11-02 00:00:00+00:00,events,252
2025-11-03 00:00:00+00:00,mailbox,226
2025-11-03 00:00:00+00:00,events,253
2025-11-04 00:00:00+00:00,intensives,77
2025-11-08 00:00:00+00:00,intensives,97
2025-11-08 00:00:00+00:00,mailbox,221
2025-11-08 00:00:00+00:00,intensives,99
2025-11-11 00:00:00+00:00,intensives,116
2025-11-11 00:00:00+00:00,intensives,117
2025-11-12 00:00:00+00:00,mailbox,219
2025-11-12 00:00:00+00:00,intensives,119
2025-11-13 00:00:00+00:00,intensives,120
2025-11-13 00:00:00+00:00,intensives,121
2025-11-14 00:00:00+00:00,mailbox,218
2025-11-14 00:00:00+00:00,intensives,123
2025-11-15 00:00:00+00:00,mailbox,216
2025-11-15 00:00:00+00:00,events,303
2025-11-16 00:00:00+00:00,intensives,129
2025-11-17 00:00:00+00:00,mailbox,215
2025-11-17 00:00:00+00:00,mailbox,214
2025-11-17 00:00:00+00:00,intensives,131
2025-11-17 00:00:00+00:00,intensives,133
2025-11-18 00:00:00+00:00,intensives,135
2025-11-18 00:00:00+00:00,intensives,141
2025-11-18 00:00:00+00:00,intensives,142
2025-11-19 00:00:00+00:00,intensives,144
2025-11-20 00:00:00+00:00,mailbox,211
2025-11-20 00:00:00+00:00,intensives,146
2025-11-20 00:00:00+00:00,intensives,148
2025-11-20 00:00:00+00:00,intensives,149
2025-11-21 00:00:00+00:00,mailbox,208
2025-11-21 00:00:00+00:00,intensives,151
2025-11-22 00:00:00+00:00,intensives,152
2025-11-23 00:00:00+00:00,events,335
2025-11-24 00:00:00+00:00,mailbox,207
2025-11-24 00:00:00+00:00,intensives,160
2025-11-24 00:00:00+00:00,intensives,162
2025-11-25 00:00:00+00:00,mailbox,206
2025-11-25 00:00:00+00:00,intensives,168
2025-11-28 00:00:00+00:00,intensives,188
